cocktail_name,alcohol_concentration(%),total_volume(ml)
Gin Rickey,22.6,88
Gin Sling,18.2,108
Gin Sour,21.2,93
Ginger Bush,39.3,60
Ginger Lime Long-Tail,27.8,63
Ginger Martini,33.6,75
Ginger Rogers,36.1,79
Ginger Tea,11.3,88
GingerBread Martini,28.2,92
Ginza Mary,16.5,126
Girl Scout Cookie,34.5,30
Gladiator,30.3,25
Glitter Bomb,10.0,162
Godchild,13.8,70
Godfather,36.3,50
Godmother,33.5,70
Golden Cadillac,22.1,60
Golden Dawn,28.4,80
Golden Doublet,7.8,50
Golden Dream,23.2,70
Golden Green Apple Cocktail,29.0,81
Golden Margarita,14.3,138
Golden Raspberry,26.8,88
GoldenEye,33.3,50
Gong,16.0,80
Goober,11.5,338
Good Luck Charm,19.0,108
Grand Orange Collins,18.5,107
Grapefruit Daiquiri,18.4,108
Grasshopper,16.1,60
Grateful Dead,22.6,136
Green Carnation,33.2,74
Green Eyes,19.8,100
Green Ghoul,27.0,50
Green Grape Glacier,0.0,200
Green Hornet,41.9,75
Green Iguana Margarita,11.3,88
Green Lemonade,0.0,170
Green Vesper,41.6,117
Greentini,31.5,88
Grinch,15.3,67
Grog,39.2,50
Guinness Daiquiri,16.7,125
Hairy Navel,31.4,50
Halfpipe,43.1,75
Halloween Harvest Punch,14.3,175
Halloween Hpnotist,22.6,81
Hangmans Blood,39.8,250
Happy New Year,17.4,160
Harrington,40.4,54
Harrogate Nights,15.3,101
Harvard Iced Tea,22.4,136
Harvey Wallbanger,12.7,156
Hawaiian Sour,13.8,108
Hemingway Daiquiri,23.6,98
Hi-Ho,31.8,79
Hibicus Royal,14.0,100
Hifi,13.2,150
High Voltage,30.6,50
Highland Margarita,36.5,68
Holiday Hopper,14.1,100
Hollywood,33.5,50
Honey Deuce,32.3,42
Honey Dew Me,30.6,30
Honeymoon Cocktail,16.9,88
Honolulu,23.5,86
Horny Bull,39.2,50
Horses Neck,19.8,101
Hot and Fruity Toddy,24.4,102
Hot Apple Pie,34.3,50
Hot Apple Toddy,53.6,55
Hot Baked Apple Toddy,31.3,55
Hot Buttered Rum,35.8,55
Hot Peppermint Patty,38.8,42
Hunters Cocktail,39.2,50
Huntress Cocktail,21.2,76
Hurricane,35.1,56
Iceberg,40.2,55
Illusion,35.5,112
Immaculate,19.8,117
Imperial Fizz,11.1,180
In & Out Lemontini,38.6,81
Incredible Hulk,28.0,60
Irish Buck,19.5,92
Irish Cactus,24.3,75
Irish Canadian,37.8,75
Irish Coffee,8.3,120
Irish Coffee Drop,20.6,50
Irish Eyes,13.9,80
Irish Flag,26.5,30
Irish Frog,18.5,40
Irish Gold,21.9,118
Irish Hammer,29.7,30
Irish Ice,6.5,65
Irish Martini,39.5,75
Irish Pride,19.8,200
Irish Punch,17.9,566
Irish Russian,39.4,70
Irish Tea Party,13.9,110
Irish Winter,39.2,50
Italian Coffee,38.5,25
Italian Sunset,6.9,201
Ja Mora,19.0,62
Jack Collins,9.1,82
Jack O`Lantern,14.2,75
Jack Rose,8.8,127
Jager Bomb,9.5,138
Jagertee,21.1,183
Jallu Collins,22.9,82
Jamaican Coffee,9.5,209
Jamican Cobbler,39.6,100
Japanese Slipper,11.8,75
Jean Harlow,28.7,100
Jell-O Shot,16.0,375
Jellybean,35.1,38
Jellyfish,35.1,125
Jersey Cocktail,7.2,53
Jersey Flashlight,4.7,80
Jersey Tea,24.8,155
Jock Collins,24.1,82
John Collins,21.2,93
Johnny Weissmuller,21.8,91
Joker,16.6,300
Juan Collins,24.1,82
Jump Up and Kiss Me,26.0,85
Just Peachy Sangria,10.1,787
Kahlua Colada,4.0,150
Kamikaze,26.3,75
Katinka,30.5,62
Kempinsky Fizz,30.5,55
Kensington Court Special,25.4,60
Kentucky Screwdriver,44.1,50
Key Lime Pie Martini,16.5,135
Kioki Coffee,45.5,38
Kir,10.4,100
Kir Breton,6.8,100
Kir Nomand,6.8,100
Kir Peche,11.3,100
Kir Petillant,13.5,100
Kir Royale,12.6,100
Kissy Suzuki,4.2,239
Kiwi Crush,19.8,100
Kiwi Martini,37.1,80
Koala Mojito,18.7,106
Koi Yellow,22.3,100
Kool Aid,23.6,25
Kremlin Colonel,23.8,100
Kyoto Sour,10.9,87
La Boheme,15.9,75
La Coloniale,33.6,75
La Cranne Creuse,41.2,77
La Habanna,36.8,50
La Pomme,39.0,56
La Vie En Rouge,14.9,100
LadyBoy,38.0,70
Lanesborough,12.7,120
Latin Manhattan,29.3,66
Laura Cocktail,32.9,112
Lava Lamp Martini,23.9,100
Lavender Lemon Drop,19.3,90
Lavender Martini,32.3,77
Leap Year,33.6,80
Leite de Onca,19.4,160
Lemon Drop,39.0,38
Lemon Drop Martini,22.6,88
Lemongrad,22.6,88
Leprechaun,39.2,50
Liberal,44.1,57
Lichitini,29.7,76
Licorice Stick,39.0,80
Light `N` Stormy,39.3,60
Lime Cola,0.0,25
Lindsay Lohan,27.6,106
Link-Up,33.5,55
Liquid Bourbon Ball,34.3,80
Liquid Cocaine,41.5,30
Long Beach Iced Tea,21.9,136
Long Island Iced Tea,21.9,136
Lorraine,33.9,100
Lounge Lizard,36.3,50
Love Potion#9,21.4,56
Lucid Garden,54.4,50
Lucky Lindy,31.5,62
Lynchburg Lemonade,5.7,175
M&M,32.7,25
Macbeth,30.5,92
Mad Monk,34.3,50
Madison Avenue,32.1,71
Madras,10.8,138
Madroska,11.2,178
Mae West,55.6,80
Magic Bus,19.8,100
Mai-Tai,26.4,90
Maidens Prayer,24.8,100
Mainbrace,26.4,90
Major Bailey,20.5,145
Mamie Taylor,39.2,50
Man `O War,28.2,88
Mango  Margarita,26.3,75
Mango Julius,1.6,106
Mango Sour,17.0,166
Mango Spice,17.0,96
Mango Tonic,31.0,39
Manhattan,36.5,72
Maracuja Batida,26.4,90
Marama,27.6,68
Margarita,22.6,88
Margarita Jelly Shot,24.3,205
Marquee,16.9,100
Martinez,33.3,76
Martini,39.3,60
Mary Pickford,18.0,110
Massey,34.1,78
MasterMix,36.4,51
Matador,16.8,75
Mauresque,32.9,40
May Day,6.6,150
Maya Magic,25.5,75
Melancia Sour,17.8,100
Melon Ball,24.0,20
Melon Cucumber-tini,31.5,62
Melon Margarita,8.9,88
Melon Patch,16.0,188
Melon Splash,23.2,75
Merry Christmas,17.9,55
Merry Irishman,40.8,70
Metropolitan,48.8,81
Mex-tini,29.5,62
Mexican Martini,19.6,105
Mexican Mojito,19.5,81
Mexican Surfer,9.9,100
Mezcal Passion,21.6,105
Miami Iced Tea,19.3,118
Michael Collins,24.1,82
Michelada,4.4,304
Michigan Iced Tea,22.2,136
Midnight Martini,20.9,85
Midnight Smash,20.3,100
Midnight Snowstorm,24.6,62
Midori Sour,5.2,100
Milk and Honey,39.2,50
Millenium,19.7,75
Mimosa,6.1,150
Mind Eraser,39.2,50
Minnehaha,31.9,82
Mint and Honey Daiquiri,31.5,62
Mint Julep,46.7,52
Missouri Mule,21.2,200
Mistletoe Martini,9.5,210
Misty Maple Leaf,28.8,68
Misty Pear,17.7,225
Mochatini,34.4,62
Modern English,22.9,118
Mojito,22.6,88
Mojito Royal,19.3,86
Moloko Plus,13.8,240
Momotaro,16.9,118
Monte Carlo,47.2,71
Moonwalk,19.4,102
Moscow Mule,19.0,81
Mound Bar,20.6,50
Mountain Sipper,23.6,126
Muddled Rebuttal,34.5,42
Mudslide,31.9,75
My Fair Lady,9.9,101
Nacional Daiquiri,21.5,112
Naked Lady,25.6,85
Napolean,36.6,88
Navy Grog,18.9,158
Negroni,25.8,75
Nevada Cocktail,14.9,136
New Orleans Fizz,12.0,144
New York Cocktail,23.3,85
New Zealander Sangria,9.6,832
Nikolaschka,31.0,47
Ninotchka,27.1,75
Nixon,33.4,62
Norina,31.4,50
Northern Lights,38.9,51
Nuts and Berries,17.9,50
Nutty Irishman,17.9,30
Nutty Martini,31.6,75
Oatmeal Cookie,23.2,52
Obituary Cocktail,42.1,60
October Screwdriver,19.9,150
Old Cuban,23.9,83
Old Etonian,28.0,79
Old Fashioned,37.2,55
Old Lay,35.1,56
Old Pal,34.7,75
One Balled Dictator,11.1,120
Orange  Julius,1.4,121
Orange Blossom,19.0,60
Orange Chocolate Dream,17.9,110
Orange Margarita,38.5,51
Orange Martini,39.1,76
Orange Oasis,18.4,138
Orange Tundra,19.8,100
Orient Express,21.6,25
Oriental,33.8,90
Painkiller,10.0,200
Paloma,18.4,108
Pamoyo,12.9,30
